cp1,cp2,age
20B0,20B1,3.2
20B2,20B5,4.1
20B6,20B8,5.2
20B9,20B9,6.0
20BA,20BA,6.2
20BB,20BD,7.0
20BE,20BE,8.0
20BF,20BF,10.0
20C0,20C0,14.0
20D0,20E1,1.1
20E2,20E3,3.0
20E4,20EA,3.2
20EB,20EB,4.1
20EC,20EF,5.0
20F0,20F0,5.1
2100,2138,1.1
2139,213A,3.0
213B,213B,4.0
213C,213C,4.1
213D,214B,3.2
214C,214C,4.1
214D,214E,5.0
214F,214F,5.1
2150,2152,5.2
2153,2182,1.1
2183,2183,3.0
2184,2184,5.0
2185,2188,5.1
2189,2189,5.2
218A,218B,8.0
2190,21EA,1.1
21EB,21F3,3.0
21F4,21FF,3.2
2200,22F1,1.1
22F2,22FF,3.2
2300,2300,1.1
2301,2301,3.0
2302,237A,1.1
237B,237B,3.0
237C,237C,3.2
237D,239A,3.0
239B,23CE,3.2
23CF,23D0,4.0
23D1,23DB,4.1
23DC,23E7,5.0
23E8,23E8,5.2
23E9,23F3,6.0
23F4,23FA,7.0
23FB,23FE,9.0
23FF,23FF,10.0
2400,2424,1.1
2425,2426,3.0
2440,24EA,1.1
24EB,24FE,3.2
24FF,24FF,4.0
2500,2595,1.1
2596,259F,3.2
25A0,25EF,1.1
25F0,25F7,3.0
25F8,25FF,3.2
2600,2613,1.1
2614,2615,4.0
2616,2617,3.2
2618,2618,4.1
2619,2619,3.0
261A,266F,1.1
2670,2671,3.0
2672,267D,3.2
267E,267F,4.1
2680,2689,3.2
268A,2691,4.0
2692,269C,4.1
269D,269D,5.1
269E,269F,5.2
26A0,26A1,4.0
26A2,26B1,4.1
26B2,26B2,5.0
26B3,26BC,5.1
26BD,26BF,5.2
26C0,26C3,5.1
26C4,26CD,5.2
26CE,26CE,6.0
26CF,26E1,5.2
26E2,26E2,6.0
26E3,26E3,5.2
26E4,26E7,6.0
26E8,26FF,5.2
2700,2700,7.0
2701,2704,1.1
2705,2705,6.0
